Air Date,Airdate,City,Country,Day,Description,Episode,Latitude,Longitude,Month1,Month,Number of Records,Order,Region,Season,Show,Source,State,Title,Year
1/8/2002,"January 8, 2002",Tokyo,Japan,8,Join Tony in Tokyo as he learns about the Japanese respect for food. A world-renowned sushi chef takes him to the Tsujiki market (Tokyo's largest fresh fish market) for ingredients for dinner and Tony chows down with sumo wrestlers to see how they maintain their weight.,1,35.689487,139.691706,1,January,1,1,Asia,1,A Cook's Tour,https://www.cookingchanneltv.com/shows/a-cooks-tour/episodes/a-taste-of-tokyo,,A Taste of Tokyo,2002
1/12/2002,"January 12, 2002",Atami,Japan,12,"Rural Japan: Tony decides to look for a more relaxing, traditional Japanese culinary experience in the countryside. Tony travels to an old-style Japanese inn that specializes in kaiseki cuisine, ancient tea ceremony, and local ingredients. He then returns to busy Tokyo to brave the blowfish served at the famous Nibiki restaurant.",2,35.096276,139.071705,1,January,1,2,Asia,1,A Cook's Tour,https://www.cookingchanneltv.com/shows/a-cooks-tour/episodes/dining-with-geishas,,Dining with Geishas,2002
1/15/2002,"January 15, 2002",Ho Chi Minh City,Vietnam,15,"Travel with Tony Bourdain to Ho Chi Minh City to an exotic market that features some extraordinary choices for breakfast including duck eggs. And for dinner in this exotic locale, Tony travels to a specialized cafe that serves up some wild ""flavors of the forest.""",3,10.823099,106.629664,1,January,1,3,Asia,1,A Cook's Tour,https://www.cookingchanneltv.com/shows/a-cooks-tour/episodes/vietnam-food-that-makes-you-manly,,Cobra Heart - Foods That Make You Manly,2002
1/15/2002,"January 15, 2002",Mekong River,Vietnam,15,"On the river, Tony drinks a lot of Mekong moonshine with the welcoming owners of a duck farm. Although seduced by his Vietnam experience, Tony is not sure the royal dish Birds Nest Soup is all its cracked up to be.",4,15.933589,103.449284,1,January,1,4,Asia,1,A Cook's Tour,https://www.cookingchanneltv.com/shows/a-cooks-tour/episodes/eating-on-the-mekong,,Eating on the Mekong,2002
1/22/2002,"January 22, 2002",Phnom Penh,Cambodia,22,"With a friend along for the ride, Tony travels to Phnom Penh, Cambodia, where he explores a food culture that is both pleasing to the palette and slightly frightening.",5,11.556374,104.92821,1,January,1,5,Asia,1,A Cook's Tour,https://www.cookingchanneltv.com/shows/a-cooks-tour/episodes/wild-delicacies,,Wild Delicacies,2002
1/29/2002,"January 29, 2002",Battambang,Cambodia,29,"The heart of darkness, a nameless river in Khmer Rouge is the setting for Tony Bourdain's latest culinary adventure. After feeling slightly up the creek at the hands of his guides, Tony is treated to an exotic Cambodian meal.",6,13.09573,103.202205,1,January,1,6,Asia,1,A Cook's Tour,https://www.cookingchanneltv.com/shows/a-cooks-tour/episodes/cambodia-eating-on-the-edge-of-nowhere,,Eating on the Edge of Nowhere,2002
1/29/2002,"January 29, 2002",Pailin,Cambodia,29,"The heart of darkness, a nameless river in Khmer Rouge is the setting for Tony Bourdain's latest culinary adventure. After feeling slightly up the creek at the hands of his guides, Tony is treated to an exotic Cambodian meal.",6,12.909296,102.667557,1,January,1,7,Asia,1,A Cook's Tour,https://www.cookingchanneltv.com/shows/a-cooks-tour/episodes/cambodia-eating-on-the-edge-of-nowhere,,Eating on the Edge of Nowhere,2002
1/29/2002,"January 29, 2002",Tokyo,Japan,29,"The heart of darkness, a nameless river in Khmer Rouge is the setting for Tony Bourdain's latest culinary adventure. After feeling slightly up the creek at the hands of his guides, Tony is treated to an exotic Cambodian meal.",6,35.689487,139.691706,1,January,1,8,Asia,1,A Cook's Tour,https://www.cookingchanneltv.com/shows/a-cooks-tour/episodes/cambodia-eating-on-the-edge-of-nowhere,,Eating on the Edge of Nowhere,2002
2/5/2002,"February 5, 2002",Porto,Portugal,5,"Portuguese cuisine holds a dear place in Tonys culinary heart.Tony travels to Porto, home of the famous Port wine, where he is immediately exposed to the codfish and the almost mythical place it holds in Portuguese cuisine and culture.",7,41.157944,-8.629105,2,February,1,9,Europe,1,A Cook's Tour,https://www.cookingchanneltv.com/shows/a-cooks-tour/episodes/cod-crazy,,Cod Crazy,2002
2/12/2002,"February 12, 2002",San Sebastian,Spain,12,"Tony explores the Basque food culture, rich in history and taste. Tony's guide, Chef Luis Irizar, takes Tony into the underworld of Basque gastronomic societies. Later, Tony explores the citys tapas bars for some everyday pleasures.",8,43.318334,-1.981231,2,February,1,10,Europe,1,A Cook's Tour,https://www.cookingchanneltv.com/shows/a-cooks-tour/episodes/san-sebastian-a-food-lovers-town,,San Sebastian: A Food Lover's Town,2002
2/19/2002,"February 19, 2002",Arcachon,France,19,"Arcachon France is where Tony's ancestral home is and where he learned to love food as a child. He and his brother take a trip back to remember steak frites, waffles and fishermen's soup, and remembers how one oyster shaped his destiny.",9,44.652297,-1.178502,2,February,1,11,Europe,1,A Cook's Tour,https://www.cookingchanneltv.com/shows/a-cooks-tour/episodes/childhood-flavors,,Childhood Flavors,2002
2/26/2002,"February 26, 2002",Amarante,Portugal,26,"French local, Jose, takes Chef Tony Bourdain to the family farm, where they have been fattening a pig all year. The feast of the pig ensues and the entire village joins in the celebration. Then Tony's off to France to meet his brother Chris in Arcachon, the seaside town where Tony and his family spent the summers of his childhood.",10,41.269636,-8.082649,2,February,1,12,Europe,1,A Cook's Tour,https://www.cookingchanneltv.com/shows/a-cooks-tour/episodes/stuffed-like-a-pig-france-tour,,Stuffed Like a Pig,2002
3/5/2002,"March 5, 2002",Rissani,Morocco,5,"Tony arrives in Morocco with one goal -- to eat roast sheep in the desert. On the edge of the Sahara, Berbers in blue lead him on a camel odyssey. Finally, the sheep roasts in a mud oven, eaten with hrira, a traditional soup eaten on special occasions.",11,31.279838,-4.258962,3,March,1,13,Africa,1,A Cook's Tour,https://www.cookingchanneltv.com/shows/a-cooks-tour/episodes/desert-feast,,A Desert Feast,2002
3/12/2002,"March 12, 2002",Fes,Morocco,12,"In Fes, a British ex-pat shows Tony the real culinary traditions of Morocco, which revolve around home kitchens that cook pigeon bastilla, couscous with vegetables and salads. At the local market, Tony samples beef kefta balls.",12,34.018125,-5.007845,3,March,1,14,Africa,1,A Cook's Tour,https://www.cookingchanneltv.com/shows/a-cooks-tour/episodes/traditional-tastes,,Traditional Tastes,2002
3/19/2002,"March 19, 2002",St. Petersburg,Russia,19,"Growing up during the Cold War, chef Tony Bourdain secretly longed to be a spy. Now, he has to settle for a guided tour of St. Petersburg. His guide, Zamir, shows him the best blini and borscht in town plus braised reindeer and pickled salad.",13,59.93428,30.335099,3,March,1,15,Europe,1,A Cook's Tour,https://www.cookingchanneltv.com/shows/a-cooks-tour/episodes/the-cook-who-came-in-from-the-cold,,The Cook Who Came In From the Cold,2002
3/26/2002,"March 26, 2002",St. Petersburg,Russia,26,"Tony and Zamir tour the working class foods of St. Petersburg. First they meet ice fishermen on the river. Tony tries his hand at ice-fishing, drinks a lot of vodka, feasts on Russian foods, eats smoked fish and ends the outing with a dip in the outdoor cold pool. To end on a high note, Tony dines on caviar in high luxury.",14,59.93428,30.335099,3,March,1,16,Europe,1,A Cook's Tour,https://www.cookingchanneltv.com/shows/a-cooks-tour/episodes/so-much-vodka-so-little-time,,"So Much Vodka, So Little Time",2002
3/26/2002,"March 26, 2002",Oaxaca,Mexico,26,"Chef Tony Bourdain explores the exotic and colorful indigenous zone of Mexicos Oaxaca region where he tastes toasted grasshoppers and other delicacies. His adventure ends with mariachi music and, of course, lots of tequila.",15,17.073184,-96.726589,3,March,1,17,North America,1,A Cook's Tour,https://www.cookingchanneltv.com/shows/a-cooks-tour/episodes/mexican-tamales-and-iguana-oaxacan-style,,"Tamales and Iguana, Oaxacan Style",2002
4/2/2002,"April 2, 2002",Puebla,Mexico,2,"Tony Bourdain's favorite sous chef hails from Puebla, Mexico, so he decides to journey there, and see what makes his cooking so special. Tony is invited to a huge fiesta featuring home-cooked mole, toasted ant eggs, fried worms and the infamous pilque (a slightly hallucinogenic drink made from cactus sap).",16,19.04144,-98.206273,4,April,1,18,North America,1,A Cook's Tour,https://www.cookingchanneltv.com/shows/a-cooks-tour/episodes/where-the-good-cooks-are-from,,"Puebla, Where the Good Cooks Are From",2002
4/9/2002,"April 9, 2002",Los Angeles,United States,9,"New York chef, Anthony Bourdain, descends into the culinary underbelly of his metropolitan nemesis, Los Angeles, where he experiences the trials of celebrity fame and the joys of West Coast cuisine.",17,34.052234,-118.243685,4,April,1,19,North America,1,A Cook's Tour,https://www.cookingchanneltv.com/shows/a-cooks-tour/episodes/heart-of-darkness,California,"Los Angeles, My Own Heart of Darkness",2002
4/9/2002,"April 9, 2002",Napa Valley,United States,9,"Marooned in San Francisco, Tony tastes local shellfish and durian ice cream before embarking on a pilgrimage to experience the genius of Thomas Keller, chef and owner of The French Laundry.",18,38.502469,-122.265389,4,April,1,20,North America,1,A Cook's Tour,https://www.cookingchanneltv.com/shows/a-cooks-tour/episodes/the-french-laundry-experience,California,The French Laundry Experience,2002
4/9/2002,"April 9, 2002",San Francisco,United States,9,"Marooned in San Francisco, Tony tastes local shellfish and durian ice cream before embarking on a pilgrimage to experience the genius of Thomas Keller, chef and owner of The French Laundry.",18,37.774929,-122.419416,4,April,1,21,North America,1,A Cook's Tour,https://www.cookingchanneltv.com/shows/a-cooks-tour/episodes/the-french-laundry-experience,California,The French Laundry Experience,2002
4/16/2002,"April 16, 2002",New York City,United States,16,"Chef Tony Bourdain loves his local New York haunts and wants to share them with you. For breakfast, Barney Greengrass is the tops in lox and bagels, and then it's off to Veritas where wine is paired with food. Last it's off to Murray's Cheese Shop and hot dogs at Gray's Papaya. It is New York at its finest.",19,40.712775,-74.005973,4,April,1,22,North America,1,A Cook's Tour,https://www.cookingchanneltv.com/shows/a-cooks-tour/episodes/my-hometown-favorites,New York,My Hometown Favorites,2002
4/23/2002,"April 23, 2002",New York City,United States,23,"Go behind the scenes for a day at chef Tony Bourdain's workplace, Les Halles, in New York, Tony takes us on a trip down memory lane from his first kitchen job in Provincetown, Mass., to the Culinary Institute of America to an interview with his legendary former boss, Bigfoot. Tony then takes us to Bellevue Bar for a sneak peek at how restaurant people behave after hours.",20,40.712775,-74.005973,4,April,1,23,North America,1,A Cook's Tour,https://www.cookingchanneltv.com/shows/a-cooks-tour/episodes/my-life-as-a-cook,New York,My Life As a Cook,2002
4/23/2002,"April 23, 2002",Provincetown,United States,23,"Go behind the scenes for a day at chef Tony Bourdain's workplace, Les Halles, in New York, Tony takes us on a trip down memory lane from his first kitchen job in Provincetown, Mass., to the Culinary Institute of America to an interview with his legendary former boss, Bigfoot. Tony then takes us to Bellevue Bar for a sneak peek at how restaurant people behave after hours.",20,42.058441,-70.178643,4,April,1,24,North America,1,A Cook's Tour,https://www.cookingchanneltv.com/shows/a-cooks-tour/episodes/my-life-as-a-cook,Massachusetts,My Life As a Cook,2002
4/23/2002,"April 23, 2002",Glasgow,United Kingdom,23,"Chef adventurer, Tony Bourdain goes to Scotland to show that it DOES have great food. He starts with an all deep-fried breakfast: pizza, eggs and Mars bars. Lunch is a traditional hearty haggis, and then he fishes and hunts for his dinner at serene Cawdor Estate.",21,55.864237,-4.251806,4,April,1,25,Europe,1,A Cook's Tour,https://www.cookingchanneltv.com/shows/a-cooks-tour/episodes/highland-grub,,Highland Grub,2002
4/30/2002,"April 30, 2002",London,United Kingdom,30,"Tony is in search of the best British food, so it's off to London. In London, Tony attempts to dispel the myth that all English food is disgusting and over-boiled. Tony tries Nose to Tail Eating, explores traditional fare at Pie and Mash Shoppes and then visits a predominantly Indian community.",22,51.507351,-0.127758,4,April,1,26,Europe,1,A Cook's Tour,https://www.cookingchanneltv.com/shows/a-cooks-tour/episodes/a-pleasing-palate,,A Pleasing Palate,2002
1/12/2003,"January 12, 2003",Saint-Martin,Saint-Martin,12,"Tony's at his home away from home, the Caribbean island of St. Martin, seeking refuge from his beloved concrete jungle, Manhattan. And there, just like in New York, he's got food on the brain. Join him for a feast that's served up in island style.",1,18.07083,-63.050081,1,January,1,27,Central America,2,A Cook's Tour,https://www.cookingchanneltv.com/shows/a-cooks-tour/episodes/food-tastes-better-with-sand-between-your-toes,,Food Tastes Better with Sand Between your Toes,2003
1/19/2003,"January 19, 2003",New Orleans,United States,19,Tony has traveled to the Big Easy and wants to find the New Orleans that tourists never see. He gets that -- and much more than he bargained for.,2,29.951066,-90.071532,1,January,1,28,North America,2,A Cook's Tour,https://www.cookingchanneltv.com/shows/a-cooks-tour/episodes/no-beads-no-babes-no-bourbon-street,Louisiana,"No Beads, No Babes, No Bourbon Street",2003
1/26/2003,"January 26, 2003",Salvador de Bahia,Brazil,26,"El Salvador is everything Tony Bourdain desires in a destination: somewhere he can easily imagine reinventing himself as a beach bum, mystic, fugitive, or permanent expat. Like many inventive cuisines borne of limited resources, this city's food is complex and adventurous. Here, Tony takes part in a Candomble ceremony.",3,-12.977749,-38.50163,1,January,1,29,South America,2,A Cook's Tour,https://www.cookingchanneltv.com/shows/a-cooks-tour/episodes/a-mystical-world,,A Mystical World,2003
2/2/2003,"February 2, 2003",Rio de Janeiro,Brazil,2,"Tony Bourdain's under the tutelage of an exemplary Carioca and willing to give this freestyle lifestyle a try -- minus the Speedo! A killer tan, a Brazilian barbecue and one too many Caipirinhas.",4,-22.906847,-43.172896,2,February,1,30,South America,2,A Cook's Tour,https://www.cookingchanneltv.com/shows/a-cooks-tour/episodes/how-to-be-a-carioca,,How to be a Carioca,2003
2/9/2003,"February 9, 2003",New York City,United States,9,"After a long shift at Les Halles, Tony Bourdain likes to unwind at his favorite neighborhood watering hole. So what makes a great bar? Tony pulls an all-nighter in Manhattan to give us the low down. There better be a maniacal bartender and good juke box, but please, hold the karaoke!",5,40.712775,-74.005973,2,February,1,31,North America,2,A Cook's Tour,https://www.cookingchanneltv.com/shows/a-cooks-tour/episodes/elements-of-a-great-bar,New York,Elements of a Great Bar,2003
2/16/2003,"February 16, 2003",Minneapolis,United States,16,"Tony Bourdain's gone to the heart of the heartland, Minneapolis, to figure out what the heck America is eating. He contemplates the country's biggest food court, then meets up with some local restaurateurs who are working hard to expand the American palate.",6,44.977753,-93.265011,2,February,1,32,North America,2,A Cook's Tour,https://www.cookingchanneltv.com/shows/a-cooks-tour/episodes/the-struggle-for-the-soul-of-america,Minnesota,The Struggle for the Soul of America,2003
