show,season,ep,title,city_or_area,country,state,coordinates,source
No Reservations,1,1,France: Why the French Don't Suck,Paris,France,NA,"48.856614,2.352222",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations
No Reservations,1,2,Iceland: Hello Darkness My Old Friend,Reykjavík,Iceland,NA,"64.126521,-21.817439",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations
No Reservations,1,3,New Jersey,Fort Lee,United States,NJ,"40.850933,-73.970138",http://ethnicnj.com/bourdains-new-jersey-the-restaurants/
No Reservations,1,3,New Jersey,Barnegat Light,United States,NJ,"39.757620,-74.106247",http://ethnicnj.com/bourdains-new-jersey-the-restaurants/
No Reservations,1,3,New Jersey,Atlantic City,United States,NJ,"39.364283,-74.422927",http://ethnicnj.com/bourdains-new-jersey-the-restaurants/
No Reservations,1,3,New Jersey,Camden,United States,NJ,"39.925946,-75.119620",http://ethnicnj.com/bourdains-new-jersey-the-restaurants/
No Reservations,1,3,New Jersey,Warren Grove,United States,NJ,"39.746634,-74.370289",http://ethnicnj.com/bourdains-new-jersey-the-restaurants/
No Reservations,1,3,New Jersey,Asbury Park,United States,NJ,"40.220391,-74.012082",http://ethnicnj.com/bourdains-new-jersey-the-restaurants/
No Reservations,1,4,Vietnam: The Island of Mr. Sang,Hanoi,Vietnam,NA,"21.027764,105.834160",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations
No Reservations,1,4,Vietnam: The Island of Mr. Sang,Mai Châu,Vietnam,NA,"20.690134,105.008989",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations
No Reservations,1,4,Vietnam: The Island of Mr. Sang,Tuần Châu,Vietnam,NA,"20.927450,106.986038",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations
No Reservations,1,5,Malaysia: Into the Jungle,Kuala Lumpur,Malaysia,NA,"3.139003,101.686855",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations
No Reservations,1,6,Sicily,"Parlermo, Sicily",Italy,NA,"38.115688,13.361267",https://www.imdb.com/title/tt0513622/locations?ref_=tt_dt_dt
No Reservations,1,6,Sicily,"Trapani, Sicily",Italy,NA,"38.017618,12.537202",https://www.imdb.com/title/tt0513622/locations?ref_=tt_dt_dt
No Reservations,1,6,Sicily,"Agrigento, Sicily",Italy,NA,"37.309407,13.585982",https://www.imdb.com/title/tt0513622/locations?ref_=tt_dt_dt
No Reservations,1,6,Sicily,"Taormina, Sicily",Italy,NA,"37.851637,15.285313",https://www.imdb.com/title/tt0513622/locations?ref_=tt_dt_dt
No Reservations,1,6,Sicily,"Catania, Sicily",Italy,NA,"37.507877,15.083030",https://www.imdb.com/title/tt0513622/locations?ref_=tt_dt_dt
No Reservations,1,7,Las Vegas,Las Vegas,United States,Nevada,"36.169941,-115.139830",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations
No Reservations,1,8,Uzbekistan,Samarkand,Uzbekistan,NA,"39.627012,66.974973",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations
No Reservations,1,8,Uzbekistan,Tashkent,Uzbekistan,NA,"41.299496,69.240073",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations
No Reservations,1,9,New Zealand: Down Under the Down Under,Christchurch,New Zealand,NA,"-43.532054,172.636225",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations
No Reservations,2,1,Asia Special: China & Japan,Osaka,Japan,NA,"34.693738,135.502165",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations
No Reservations,2,1,Asia Special: China & Japan,Kisoji,Japan,NA,"36.074885,138.089862",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations
No Reservations,2,1,Asia Special: China & Japan,Xi’an,China,NA,"34.341574,108.939770",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations
No Reservations,2,1,Asia Special: China & Japan,Beijing,China,NA,"39.904200,116.407396",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations
No Reservations,2,1,Asia Special: China & Japan,Chengdu,China,NA,"30.572815,104.066801",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations
No Reservations,2,2,South Florida,Miami,United States,Florida,"25.761680,-80.191790",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations
No Reservations,2,2,South Florida,Key West,United States,Florida,"24.555059,-81.779987",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations
No Reservations,2,3,Peru,Lima,Peru,NA,"-12.046373,-77.042754",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations
No Reservations,2,3,Peru,Tambopata,Peru,NA,"-12.582529,-69.193276",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations
No Reservations,2,3,Peru,Cusco,Peru,NA,"-13.531950,-71.967463",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations
No Reservations,2,3,Peru,Machu Picchu,Peru,NA,"-13.163141,-72.544963",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations
No Reservations,2,4,Peru,"Montreal, Quebec",Canada,NA,"45.501689,-73.567256",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations
No Reservations,2,4,Quebec,"Marieville, Quebec",Canada,NA,"45.432629,-73.160204",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations
No Reservations,2,4,Quebec,"Rigaud, Quebec",Canada,NA,"45.483074,-74.282199",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations
No Reservations,2,4,Quebec,"Inukjuak, Quebec",Canada,NA,"58.455121,-78.105103",https://www.imdb.com/title/tt0933410/locations?ref_=tt_dt_dt
No Reservations,2,5,Sweden,Stockholm,Sweden,NA,"59.329323,18.068581",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations
No Reservations,2,6,Puerto Rico,"Cayey, Puerto Rico",United States,NA,"18.111905,-66.166000",https://www.imdb.com/title/tt0933412/locations?ref_=tt_dt_dt
No Reservations,2,6,Puerto Rico,"Ponce, Puerto Rico",United States,NA,"18.011077,-66.614062",https://www.imdb.com/title/tt0933412/locations?ref_=tt_dt_dt
No Reservations,2,6,Puerto Rico,"Bayam, Puerto Rico",United States,NA,"18.220833,-66.590149",https://www.imdb.com/title/tt0933412/locations?ref_=tt_dt_dt
No Reservations,2,6,Puerto Rico,"San Juan, Puerto Rico",United States,NA,"18.465539,-66.105735",https://www.imdb.com/title/tt0933412/locations?ref_=tt_dt_dt
No Reservations,2,6,Puerto Rico,"Isabela, Puerto Rico",United States,NA,"18.470386,-67.024206",https://www.imdb.com/title/tt0933412/locations?ref_=tt_dt_dt
No Reservations,2,6,Puerto Rico,"Vega Baja, Puerto Rico",United States,NA,"18.446922,-66.397314",https://www.imdb.com/title/tt0933412/locations?ref_=tt_dt_dt
No Reservations,2,6,Puerto Rico,"Caguas, Puerto Rico",United States,NA,"18.238799,-66.035249",https://www.imdb.com/title/tt0933412/locations?ref_=tt_dt_dt
No Reservations,2,7,Japan,Osaka,Japan,NA,"34.693738,135.502165",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations
No Reservations,2,8,US/Mexico Border,Del Rio,United States,Texas,"29.370886,-100.895867",https://www.imdb.com/title/tt0988175/locations?ref_=tt_dt_dt
No Reservations,2,8,US/Mexico Border,Rio Grande,United States,Texas,"26.379787,-98.820305",https://www.imdb.com/title/tt0988175/locations?ref_=tt_dt_dt
No Reservations,2,8,US/Mexico Border,Monterrey,Mexico,NA,"25.686614,-100.316113",https://www.imdb.com/title/tt0988175/locations?ref_=tt_dt_dt
No Reservations,2,8,US/Mexico Border,Tamaulipas,Mexico,NA,"24.266940,-98.836275",https://www.imdb.com/title/tt0988175/locations?ref_=tt_dt_dt
No Reservations,2,8,US/Mexico Border,Coahuíla,Mexico,NA,"27.058676,-101.706829",https://www.imdb.com/title/tt0988175/locations?ref_=tt_dt_dt
No Reservations,2,8,US/Mexico Border,Laredo,United States,Texas,"27.530567,-99.480324",https://www.imdb.com/title/tt0988175/locations?ref_=tt_dt_dt
No Reservations,2,8,US/Mexico Border,Eagle Pass,United States,Texas,"28.709143,-100.499521",https://www.imdb.com/title/tt0988175/locations?ref_=tt_dt_dt
No Reservations,2,9,India (Rajasthan),Udaipur,India,NA,"24.585445,73.712479",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations
No Reservations,2,9,India (Rajasthan),Jodhpur,India,NA,"26.238947,73.024309",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations
No Reservations,2,9,India (Rajasthan),Jaisalmer,India,NA,"26.915749,70.908344",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations
No Reservations,2,10,India (Kolkata/Mumbai),Kolkata,India,NA,"22.572646,88.363895",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations
